Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-07-06,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-06,La Paz,Calacoto,Frutas y Verduras,95.5369,57.44,-4.463099999999997,0.0
2026-07-06,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-07,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-07,La Paz,Calacoto,Abarrotes,87.9558,27.62,-12.044200000000004,-0.12044200000000005
2026-07-07,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-07,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-07,La Paz,Calacoto,Frutas y Verduras,100.0,138.0,0.0,0.04671598094558216
2026-07-07,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-08,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-08,La Paz,Calacoto,Abarrotes,87.9558,27.62,-12.044200000000004,0.0
2026-07-08,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-08,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-08,La Paz,Calacoto,Frutas y Verduras,95.9543,58.56,-4.0456999999999965,-0.040456999999999965
2026-07-08,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-09,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-10,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-10,La Paz,Calacoto,Abarrotes,88.0757,26.1,-11.924300000000002,0.0013631846904922362
2026-07-10,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-10,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-10,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,-0.00011672223131220516
2026-07-10,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-11,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-11,La Paz,Calacoto,Abarrotes,100.0,14.17,0.0,0.13538694554797748
2026-07-11,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-11,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-12,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-12,La Paz,Calacoto,Abarrotes,89.107,26.27,-10.893,-0.10892999999999997
